0, 459, 459, 16
1, 468, 468, 9
2, 450, 450, -18
3, 443, 443, -7
4, 458, 458, 15
5, 455, 455, -3
6, 447, 447, -8
7, 484, 484, 37
8, 463, 463, -21
9, 470, 470, 7
10, 505, 505, 35
11, 557, 557, 52
12, 482, 482, -75
13, 489, 489, 7
14, 488, 488, -1
15, 519, 519, 31
16, 471, 471, -48
17, 535, 535, 64
18, 465, 465, -70
19, 465, 465, 0
20, 527, 527, 62
21, 450, 450, -77
22, 518, 518, 68
23, 470, 470, -48
24, 508, 508, 38
25, 477, 477, -31
26, 568, 568, 91
27, 634, 634, 66
28, 799, 799, 165
29, 801, 801, 2
30, 787, 787, -14
31, 794, 794, 7
32, 775, 775, -19
33, 800, 800, 25
34, 597, 597, -203
35, 566, 566, -31
36, 447, 447, -119
37, 450, 450, 3
38, 457, 457, 7
39, 451, 451, -6
40, 447, 447, -4
41, 448, 448, 1
42, 448, 448, 0
43, 447, 447, -1
44, 446, 446, -1
45, 450, 450, 4
46, 450, 450, 0
47, 454, 454, 4
48, 449, 449, -5
49, 453, 453, 4
50, 464, 464, 11
51, 455, 455, -9
52, 455, 455, 0
53, 446, 446, -9
54, 447, 447, 1
55, 450, 450, 3
56, 446, 446, -4
57, 451, 451, 5
58, 453, 453, 2
59, 457, 457, 4
60, 456, 456, -1
61, 518, 518, 62
62, 483, 483, -35
63, 528, 528, 45
64, 469, 469, -59
65, 585, 585, 116
66, 480, 480, -105
67, 447, 447, -33
68, 445, 445, -2
69, 462, 462, 17
70, 475, 475, 13
71, 481, 481, 6
72, 535, 535, 54
73, 483, 483, -52
74, 544, 544, 61
75, 524, 524, -20
76, 530, 530, 6
77, 504, 504, -26
78, 636, 636, 132
79, 624, 624, -12
80, 640, 640, 16
81, 642, 642, 2
82, 674, 674, 32
83, 576, 576, -98
84, 513, 513, -63
85, 461, 461, -52
86, 447, 447, -14
87, 453, 453, 6
88, 448, 448, -5
89, 449, 449, 1
90, 448, 448, -1
91, 451, 451, 3
92, 448, 448, -3
93, 447, 447, -1
94, 461, 461, 14
95, 445, 445, -16
96, 455, 455, 10
97, 445, 445, -10
98, 443, 443, -2
99, 448, 448, 5
100, 459, 459, 11
101, 452, 452, -7
102, 449, 449, -3
103, 450, 450, 1
104, 444, 444, -6
105, 450, 450, 6
106, 449, 449, -1
107, 491, 491, 42
108, 516, 516, 25
109, 496, 496, -20
110, 443, 443, -53
111, 446, 446, 3
112, 448, 448, 2
113, 520, 520, 72
114, 808, 808, 288
115, 708, 708, -100
116, 758, 758, 50
117, 729, 729, -29
118, 758, 758, 29
119, 734, 734, -24
120, 775, 775, 41
121, 729, 729, -46
122, 753, 753, 24
123, 677, 677, -76
124, 443, 443, -234
125, 507, 507, 64
126, 445, 445, -62
127, 444, 444, -1
128, 445, 445, 1
129, 446, 446, 1
130, 448, 448, 2
131, 449, 449, 1
132, 450, 450, 1
133, 468, 468, 18
134, 441, 441, -27
135, 450, 450, 9
136, 443, 443, -7
137, 446, 446, 3
138, 445, 445, -1
139, 458, 458, 13
140, 444, 444, -14
141, 442, 442, -2
142, 442, 442, 0
143, 441, 441, -1
144, 451, 451, 10
145, 439, 439, -12
146, 443, 443, 4
147, 444, 444, 1
148, 443, 443, -1
149, 456, 456, 13
150, 448, 448, -8
151, 451, 451, 3
152, 443, 443, -8
153, 448, 448, 5
154, 444, 444, -4
155, 448, 448, 4
156, 450, 450, 2
157, 447, 447, -3
158, 457, 457, 10
159, 446, 446, -11
160, 444, 444, -2
161, 450, 450, 6
162, 446, 446, -4
163, 444, 444, -2
164, 448, 448, 4
165, 447, 447, -1
166, 443, 443, -4
167, 445, 445, 2
168, 449, 449, 4
169, 444, 444, -5
170, 445, 445, 1
171, 455, 455, 10
172, 447, 447, -8
173, 445, 445, -2
174, 448, 448, 3
175, 443, 443, -5
176, 442, 442, -1
177, 448, 448, 6
178, 453, 453, 5
179, 447, 447, -6
