173.16, 2330, 2491
178.49, 1600, 2030
183.83, 1563, 1867
189.16, 1566, 1825
194.50, 1564, 1771
199.83, 1498, 1769
205.39, 1534, 1762
210.50, 1599, 2027
215.84, 2295, 2484
221.17, 2625, 2700
226.73, 2710, 2728
232.06, 2712, 2732
237.18, 2716, 2735
242.51, 2716, 2731
247.84, 2710, 2725
252.96, 2710, 2721
258.51, 2716, 2718
263.85, 2604, 2631
269.18, 2083, 2427
274.30, 1586, 1869
279.85, 1607, 1850
284.97, 1619, 1823
290.52, 1597, 1776
296.08, 1635, 1821
301.42, 1611, 1781
306.31, 1558, 1715
311.64, 1611, 1760
317.42, 1589, 1734
322.75, 1575, 1730
328.09, 1562, 1753
333.42, 1528, 1782
338.76, 1570, 1762
343.87, 1529, 1796
348.98, 1518, 1813
354.76, 1461, 1857
359.88, 1410, 1858
365.43, 1419, 1884
370.54, 1489, 1921
375.66, 1526, 1913
381.21, 1511, 1955
386.55, 1464, 1877
391.66, 1496, 1897
397.22, 1551, 1904
402.33, 1586, 1973
407.89, 1649, 2027
413.45, 1595, 1972
418.78, 1592, 1871
424.12, 1627, 1869
429.67, 1586, 1874
434.78, 1574, 1824
440.12, 1606, 1769
445.45, 1668, 1776
450.79, 1654, 1860
456.12, 1639, 1911
461.46, 1663, 1886
466.57, 1648, 1865
472.13, 1689, 1861
477.46, 1714, 1900
482.80, 1735, 1846
487.91, 1704, 1855
493.24, 1652, 1845
498.58, 1617, 1796
504.14, 1677, 1797
509.47, 1662, 1830
512.14, 1703, 1935
511.25, 1685, 1901
507.25, 1661, 1845
501.47, 1680, 1793
495.69, 1617, 1810
489.91, 1643, 1842
484.58, 1696, 1849
479.24, 1715, 1855
473.91, 1707, 1881
468.79, 1678, 1864
463.46, 1642, 1837
457.90, 1650, 1903
452.57, 1645, 1888
447.68, 1669, 1840
442.12, 1675, 1770
436.56, 1581, 1772
431.23, 1578, 1836
426.12, 1589, 1869
420.78, 1609, 1858
415.45, 1598, 1885
410.33, 1584, 1993
405.00, 1636, 2021
399.44, 1592, 1971
393.88, 1524, 1897
388.55, 1484, 1877
