0, 1968
1, 442
2, 449
3, 1980
4, 1118
5, 720
6, 987
7, 1055
8, 914
9, 916
10, 942
11, 966
12, 961
13, 1027
14, 1026
15, 1051
16, 1044
17, 1047
18, 1054
19, 1049
20, 1046
21, 1040
22, 1043
23, 1047
24, 1026
25, 1021
26, 1078
27, 1029
28, 1021
29, 1013
30, 1059
31, 1009
32, 1003
33, 983
34, 986
35, 961
36, 1009
37, 961
38, 913
39, 637
40, 562
41, 547
42, 524
43, 543
44, 446
45, 469
46, 447
47, 538
48, 542
49, 470
50, 483
51, 393
52, 359
53, 336
54, 384
55, 366
56, 449
57, 507
58, 451
59, 517
60, 562
61, 758
62, 844
63, 1523
64, 1689
65, 1933
66, 1916
67, 1958
68, 1956
69, 1992
70, 2008
71, 2004
72, 2001
73, 1999
74, 2062
75, 2006
76, 2004
77, 1981
78, 1955
79, 1988
80, 1831
81, 1673
82, 1138
83, 956
84, 632
85, 467
86, 423
87, 448
88, 519
89, 452
90, 433
91, 411
92, 447
93, 449
94, 473
95, 463
96, 450
97, 510
98, 469
99, 475
100, 471
101, 448
102, 414
103, 433
104, 445
105, 471
106, 452
107, 482
108, 409
109, 503
110, 521
111, 505
112, 472
113, 524
114, 523
115, 496
116, 445
117, 472
118, 521
119, 654
120, 1003
121, 1625
122, 1892
123, 2072
124, 2113
125, 2140
126, 2070
127, 2024
128, 2025
129, 1999
130, 1980
131, 2002
132, 2006
133, 1959
134, 1938
135, 1826
136, 1740
137, 1026
138, 913
139, 660
140, 658
141, 586
142, 564
143, 542
144, 523
145, 550
146, 473
147, 385
148, 383
149, 305
150, 342
151, 300
152, 300
153, 300
154, 300
155, 300
156, 300
157, 309
158, 300
159, 300
160, 300
161, 300
162, 300
163, 300
164, 313
165, 300
166, 300
167, 300
168, 300
169, 300
170, 300
171, 300
172, 300
173, 383
174, 363
175, 300
176, 300
177, 300
178, 300
179, 511
